,ANHEDONIA,0
0,0.25,7.5662746
1,0.0,11.993496
2,0.0,11.347851
3,1.0,14.674615
4,0.25,12.14889
5,0.0,12.064579
6,0.0,5.763797
7,0.0,12.596171
8,0.25,9.700652
9,0.0,11.390823
10,0.75,12.021844
11,1.0,12.4056425
12,0.0,7.802283
13,0.75,11.031589
14,1.0,13.98546
15,3.0,15.448127
16,0.75,11.691788
17,0.75,6.884552
18,1.0,14.08146
19,0.25,10.40721
20,0.25,8.311182
21,2.5,13.635768
22,0.5,8.74043
23,0.75,11.565669
24,0.0,4.9669976
25,0.0,10.16038
26,2.75,16.998312
27,0.0,10.267194
28,0.75,12.948502
29,1.25,9.916371
30,0.0,9.615329
31,0.75,9.190917
32,0.0,10.300643
33,0.0,10.957057
34,0.5,12.409387
35,1.5,14.638891
36,1.5,14.306251
37,1.25,8.047575
38,0.0,9.804969
39,1.25,11.72527
40,1.75,15.082904
41,1.5,15.075599
42,0.0,11.152612
43,0.75,12.700555
44,0.25,9.978583
45,0.0,6.818344
46,0.75,11.34616
47,0.5,8.972406
48,0.0,7.618169
49,0.75,15.9234705
50,0.0,10.112256
51,0.25,12.629456
52,1.25,12.236676
