,DISTRACTIBILITY,0
0,0.5,8.657692
1,1.25,9.681592
2,0.0,8.51603
3,0.75,7.676694
4,0.0,5.033336
5,0.5,4.8275204
6,0.0,7.525306
7,1.0,9.866197
8,2.0,7.7908063
9,1.0,9.212812
10,0.5,9.29392
11,2.5,9.921919
12,0.0,4.9569855
13,2.0,9.058314
14,0.0,4.4869995
15,1.25,8.505917
16,2.5,13.690009
17,2.5,12.715004
18,2.0,11.122601
19,1.0,10.496483
20,2.0,11.5581875
21,1.75,10.912493
22,1.25,7.814473
23,1.75,9.611471
24,1.5,10.113596
25,0.5,8.456816
26,2.25,9.702367
27,2.0,13.58438
28,0.0,6.2834797
29,0.5,6.9188566
30,0.25,6.474926
31,0.0,8.2211075
32,0.5,11.860924
33,0.75,9.634939
34,0.0,8.021742
35,0.5,5.6550264
36,0.75,8.696586
37,0.0,5.7755785
38,0.0,10.757616
39,0.0,7.7530193
40,1.5,13.414849
41,2.25,12.256028
42,0.0,11.783358
43,0.5,7.0084324
44,2.0,10.025605
45,1.0,11.499025
46,1.25,8.678341
47,1.75,10.611187
48,0.0,3.5941877
49,2.0,10.382332
50,2.5,11.218216
51,0.25,6.0668755
52,1.25,9.268165
