,HYPER,0
0,48.0,46.234962
1,44.0,46.42777
2,60.0,45.580616
3,48.0,47.5805
4,71.0,52.718113
5,56.25,42.209827
6,40.0,48.759933
7,88.0,50.020695
8,45.0,48.022354
9,77.0,50.54247
10,37.0,48.853237
11,35.0,35.027435
12,33.0,44.83817
13,40.0,49.568558
14,38.0,41.229145
15,56.46666667,49.400723
16,42.08333333,46.36224
17,67.66666667,50.83503
18,61.0,51.253193
19,48.0,46.07925
20,51.0,49.738346
21,33.0,43.482956
22,54.0,50.081364
23,66.0,47.462337
24,47.33333333,48.170734
25,35.0,40.58973
26,42.0,47.359444
27,86.0,49.555656
28,48.0,47.719704
29,38.0,51.02314
30,46.66666667,46.65091
31,89.0,50.20471
32,41.0,41.342934
33,58.33333333,51.06023
34,42.0,45.932518
35,50.83333333,50.16805
36,54.0,49.25062
37,46.0,40.666367
38,53.66666667,48.23684
39,46.66666667,47.139908
40,33.0,50.429092
41,49.0,48.23256
42,53.66666667,51.294567
43,71.0,47.205666
44,35.0,46.13583
45,69.0,45.410793
46,52.70833333,50.471207
47,57.0,48.50603
48,51.33333333,48.203117
49,35.0,44.5272
50,38.0,48.38101
51,46.0,43.913055
52,35.0,42.9294
53,44.0,45.818
54,46.0,45.990063
