,IRRESPONSIBILITY,0
0,0.0,8.903703
1,0.25,12.022359
2,0.0,11.48535
3,3.0,14.746997
4,0.0,8.449381
5,0.5,15.131672
6,0.75,10.017746
7,0.5,7.7203965
8,0.0,6.1924796
9,0.5,12.374657
10,0.0,10.466778
11,0.0,9.693437
12,0.5,13.265279
13,0.5,13.986813
14,0.0,13.169283
15,0.0,10.975069
16,0.0,11.972485
17,1.5,15.622054
18,0.0,13.137035
19,0.0,13.597523
20,0.0,11.902977
21,0.5,12.558043
22,1.75,12.420942
23,0.0,7.1261144
24,1.0,14.343349
25,0.25,10.522736
26,2.0,17.159472
27,0.75,11.760486
28,0.0,11.917191
29,2.0,16.468327
30,0.25,10.630987
31,0.0,11.06437
32,0.25,10.144881
33,0.5,10.517668
34,0.0,9.939907
35,0.0,9.630543
36,1.0,13.735934
37,0.25,10.5681925
38,0.25,7.086624
39,0.0,10.034618
40,1.0,10.492733
41,1.25,13.979634
42,0.0,7.7311034
43,1.25,13.031437
44,1.75,17.62801
45,1.25,12.92145
46,0.5,11.606933
47,0.0,10.382578
48,0.0,11.327309
49,1.75,14.728482
50,0.0,12.56234
51,0.75,10.225252
52,0.0,11.832148
