,SELFESTEEM,0
0,3.2,34.218204
1,2.9,32.63609
2,2.9,31.19239
3,3.2,34.03407
4,2.8,28.629795
5,2.7,29.379013
6,3.4,32.080532
7,3.1,30.096594
8,2.9,29.360569
9,3.2,35.03224
10,2.8,33.046757
11,2.8,28.671696
12,3.1,29.542068
13,3.2,29.401102
14,2.4,28.103994
15,3.7,37.846397
16,3.5,32.499493
17,3.5,33.42818
18,3.0,28.60493
19,2.9,27.596199
20,2.9,32.77194
21,3.6,27.722672
22,3.4,32.708057
23,3.0,25.612247
24,3.5,33.138813
25,2.7,30.949158
26,2.5,26.051617
27,3.3,35.53949
28,3.3,33.469734
29,2.9,29.537498
30,3.1,32.142914
31,3.4,29.035744
32,2.7,32.968567
33,2.8,25.212555
34,3.6,33.87659
35,2.2,31.206738
36,3.4,32.779377
37,2.6,27.357132
38,3.3,29.995771
39,3.0,32.29452
40,3.3,28.242409
41,2.8,26.927788
42,3.1,33.28895
43,2.6,33.133068
44,2.6,32.037807
45,3.0,31.87836
46,3.2,29.916357
47,3.7,34.747215
48,3.4,25.722927
49,2.8,30.79103
50,2.5,30.783615
51,2.7,28.153801
52,2.5,28.886257
