,0,SEL
0,3.8443696,39.0
1,2.719119,35.0
2,2.1042578,1.0
3,3.9965472,62.0
4,2.3963635,18.0
5,2.2220602,0.0
6,3.0098212,32.0
7,2.6563442,37.0
8,2.1683218,8.0
9,2.8555162,18.0
10,3.1276517,35.0
11,2.7711833,56.0
12,2.5272918,9.0
13,2.5135436,8.0
14,2.3980258,25.0
15,3.0603764,28.0
16,3.040921,22.0
17,2.736753,23.0
18,2.7612278,46.0
19,2.5830038,12.0
20,2.4201195,9.0
21,2.6838338,24.0
22,2.7542267,10.0
23,2.403422,35.0
24,3.7926219,55.0
25,2.1128757,17.0
26,2.9159362,26.0
27,4.544271,77.0
28,3.508189,40.0
29,2.343088,11.0
30,2.550079,12.0
31,2.58507,37.0
32,2.4136465,20.0
33,2.6150968,20.0
34,2.8207393,18.0
35,2.550975,31.0
36,3.8107283,43.0
37,2.641092,18.0
38,2.2742307,8.0
39,3.3754418,32.0
40,2.782408,36.0
41,3.3130543,65.0
42,2.5804567,27.0
43,3.6442027,39.0
44,2.6075847,33.0
45,3.5834363,28.0
46,3.8004944,95.0
47,2.629724,24.0
48,2.9511704,33.0
49,1.9468148,7.0
50,2.8989868,18.0
51,2.6767,13.0
52,2.4582713,20.0
53,2.8417845,31.0
54,1.4844819,4.0
55,2.274957,15.0
56,3.4084184,32.0
57,2.2853296,8.0
58,2.5746472,36.0
59,3.7403002,68.0
60,2.8797772,7.0
61,2.1233006,2.0
62,3.464699,53.0
63,2.9102395,24.0
64,2.4328644,38.0
65,3.5881207,88.0
66,1.8350037,6.0
67,2.030403,7.0
68,3.3878217,45.0
69,2.462144,10.0
70,3.5849566,78.0
71,3.3134181,45.0
72,2.3796237,42.0
73,2.7372622,12.0
74,2.2978106,5.0
75,2.6896544,3.0
76,2.2437086,15.0
77,3.0805619,13.0
78,2.5789404,24.0
79,2.7516682,4.0
80,2.552124,21.0
81,2.3087976,17.0
82,2.5192168,0.0
83,2.6300051,21.0
84,2.918692,0.0
85,3.3785636,9.0
86,2.8120794,41.0
87,2.4293203,30.0
88,2.01314,6.0
89,2.7498884,2.0
90,3.0925968,36.0
91,2.7626085,47.0
92,2.2258716,33.0
93,2.001342,7.0
94,2.817501,35.0
95,2.1237543,16.0
96,2.5236962,22.0
97,2.544121,1.0
98,2.8320587,33.0
99,2.670924,39.0
100,3.433365,30.0
101,2.067427,15.0
102,3.0594306,90.0
103,2.7266908,17.0
104,2.623501,42.0
105,3.8359606,61.0
106,2.9157484,11.0
107,3.277216,97.0
108,2.6731853,40.0
109,3.8274448,99.0
110,2.1653295,34.0
111,3.9152908,46.0
112,3.5285585,56.0
113,2.0826876,19.0
114,2.3595335,16.0
115,2.6039932,13.0
116,3.3306549,47.0
117,2.3963811,13.0
118,2.6434257,16.0
119,2.170619,23.0
120,2.3523307,7.0
121,2.7100565,26.0
122,2.9659119,44.0
123,2.5856373,23.0
124,1.5934361,0.0
125,2.403647,14.0
126,3.8413591,57.0
127,2.056578,2.0
128,2.1823006,11.0
129,2.097529,8.0
130,2.396924,19.0
131,3.1595106,50.0
132,3.328326,71.0
133,2.7642386,27.0
134,2.2631514,15.0
135,3.3517692,26.0
136,1.616376,8.0
137,2.3578384,6.0
138,3.0277278,21.0
139,2.38774,7.0
140,2.6019213,21.0
141,2.8880124,36.0
142,2.655626,4.0
143,3.6700864,60.0
144,3.3370836,59.0
145,2.3704093,40.0
146,1.9916584,4.0
147,2.7834408,7.0
148,3.7055078,43.0
149,2.088695,0.0
150,2.0581148,0.0
151,2.6756046,1.0
152,4.5361953,98.0
153,3.6361141,65.0
154,3.1383212,30.0
155,2.9104855,22.0
156,2.3401773,21.0
157,2.8367062,35.0
158,2.2159224,10.0
159,2.298366,28.0
160,3.143874,40.0
161,2.1222105,5.0
162,3.4075468,38.0
163,2.687837,13.0
164,3.3837128,34.0
165,1.8291048,7.0
166,2.940763,33.0
167,2.5938861,16.0
168,1.6804899,3.0
169,2.6305523,42.0
170,2.5123103,41.0
171,2.264206,4.0
172,2.7875493,26.0
173,2.7637656,42.0
174,2.9615145,20.0
175,3.5346773,64.0
176,2.5406325,23.0
177,2.4496944,24.0
178,2.8247294,31.0
179,2.448302,2.0
180,1.6284256,1.0
181,3.5732427,55.0
182,2.374789,24.0
183,2.0502698,4.0
184,2.6942616,25.0
185,3.0928237,53.0
186,2.3728282,2.0
187,3.0893078,22.0
188,3.3250117,43.0
189,2.333106,8.0
190,3.2409952,29.0
191,2.3307052,32.0
192,2.7759867,19.0
193,2.5263062,3.0
194,2.469056,49.0
195,3.0015829,49.0
196,2.6466205,50.0
197,3.367064,48.0
198,2.1160328,1.0
199,2.1099896,9.0
200,2.7028081,13.0
201,2.7569902,14.0
202,3.2115507,38.0
203,2.8085444,43.0
204,2.321393,20.0
205,2.8220131,26.0
206,2.2690446,36.0
207,1.9255856,2.0
208,2.7902036,5.0
209,2.2453716,64.0
210,2.7950222,33.0
211,2.5705438,19.0
212,3.6102011,31.0
213,1.9973557,21.0
214,2.4025266,28.0
215,2.7299094,38.0
216,3.21832,34.0
217,2.8211377,22.0
218,2.2010252,19.0
219,2.6543245,6.0
220,2.8018796,8.0
221,3.468323,88.0
222,2.8593423,7.0
223,2.5719202,12.0
224,2.7721894,38.0
225,2.961552,35.0
226,3.1681416,29.0
227,2.6379764,15.0
228,2.073827,18.0
229,2.2728763,17.0
230,2.3611448,30.0
231,3.7620885,13.0
232,2.4702132,3.0
233,2.4070861,18.0
234,2.3190305,0.0
235,2.950294,40.0
