,SOM,0
0,25.0,55.426907
1,75.0,76.8816
2,65.0,69.64761
3,100.0,65.27062
4,45.0,49.4044
5,40.0,47.668007
6,45.0,46.285324
7,95.0,42.02269
8,25.0,36.810024
9,90.0,50.1848
10,95.0,61.73859
11,85.0,66.80619
12,65.0,73.517845
13,5.0,60.23634
14,75.0,62.9367
15,85.0,69.73632
16,85.0,76.66311
17,60.0,59.150295
18,100.0,51.24131
19,25.0,59.106
20,25.0,50.687935
21,75.0,61.403656
22,5.0,43.874435
23,60.0,45.876766
24,75.0,65.10558
25,100.0,51.238243
26,90.0,67.76759
27,60.0,63.994984
28,40.0,49.278515
29,25.0,37.53703
30,75.0,63.77865
31,100.0,47.509323
32,85.0,49.99551
33,40.0,46.15818
34,5.0,63.225735
35,60.0,60.13054
36,95.0,62.599014
37,5.0,44.689426
38,75.0,73.28882
39,75.0,62.30323
40,75.0,68.94314
41,90.0,52.72734
42,100.0,57.178505
43,60.0,65.28767
44,5.0,60.299065
45,100.0,69.41062
46,95.0,58.228977
47,100.0,56.807426
48,75.0,78.24149
49,100.0,56.239582
50,25.0,58.352997
51,25.0,51.999046
52,60.0,58.995457
53,65.0,48.19788
54,75.0,64.05901
55,5.0,52.893234
56,75.0,44.69836
57,25.0,48.377003
58,85.0,47.64238
59,75.0,50.24067
60,75.0,60.199795
61,5.0,47.999905
