,SUBMISSIVENESS,0
0,0.5,13.759068
1,2.25,16.774162
2,1.75,17.024446
3,2.75,20.009697
4,2.5,15.838586
5,1.25,16.339989
6,2.0,17.589493
7,1.25,15.501789
8,2.25,16.920584
9,0.75,16.351864
10,2.25,20.620953
11,1.5,22.329361
12,1.25,19.320225
13,1.75,18.911686
14,1.25,15.422046
15,2.75,27.86157
16,1.5,21.391554
17,1.0,16.843643
18,1.0,15.005192
19,2.25,23.118504
20,1.5,19.63695
21,0.5,11.758579
22,1.5,13.24085
23,1.75,15.630034
24,0.25,15.958279
25,2.25,24.993395
26,0.5,13.456844
27,0.75,19.69646
28,2.0,22.985067
29,2.25,19.074108
30,1.5,17.542625
31,1.0,13.876137
32,1.25,20.891968
33,0.0,11.877132
34,0.5,19.186525
35,2.5,19.703642
36,0.75,14.251505
37,3.0,21.582764
38,0.25,16.66476
39,1.5,15.036442
40,1.0,18.45029
41,1.5,18.432514
42,0.0,15.162991
43,2.0,18.126547
44,0.75,15.7108555
45,0.0,14.103604
46,1.25,11.548173
47,1.75,26.067846
48,0.0,15.161676
49,3.0,23.79457
50,2.0,16.843517
51,2.0,20.07639
